Trip_Distance_km,Traffic_Conditions,Weather,Base_Fare,Trip_Duration_Minutes,Trip_Price
11.04,3.0,1,2.83,5.93,11.596999999999998
15.36,1.0,1,3.49,6.06,16.9168
44.92,1.0,1,2.99,57.97,101.8744
1.64,1.0,1,3.32,61.16,32.7396
5.19,1.0,2,4.57,7.6,12.7333
11.19,1.0,1,4.05,84.0,35.964
9.89,1.0,3,2.61,69.39,38.95910000000001
29.57,1.0,1,4.62,39.61,50.117900000000006
44.74,2.0,2,4.67,51.82,51.1318
41.05,3.0,3,2.99,31.71,67.736
13.71,1.0,1,3.54,27.87,22.3206
31.58,2.0,2,4.57,91.7,54.3684
21.06,2.0,1,3.19,17.7,44.7904
28.05,2.0,1,2.6,58.8,45.9215
22.37,2.0,1,3.27,13.15,34.376400000000004
15.43,2.0,1,3.16,73.79,48.2267
38.42,1.0,1,4.29,65.68,54.76660000000001
7.87,1.0,1,3.52,64.51,26.1975
24.88,3.0,1,3.4,68.14,55.3432
44.83,2.0,3,2.17,72.04,64.7223
40.19,2.0,1,2.79,51.19,52.9218
21.84,1.0,1,3.31,114.14,46.639
14.17,1.0,3,4.84,37.82,19.7235
27.54,1.0,1,4.3,102.08,80.7576
13.64,2.0,2,3.77,100.3,39.275
7.83,2.0,1,4.16,99.63,29.3753
41.91,2.0,1,4.82,26.72,63.7777
49.24,2.0,1,4.64,85.63,54.67150000000001
26.76,3.0,1,3.55,38.42,42.398
9.41,1.0,1,4.32,39.21,28.1281
1.9,1.0,1,3.66,88.44,29.9812
6.77,3.0,1,2.38,5.1,10.4444
14.43,3.0,1,2.81,24.69,29.0627
28.15,3.0,1,2.06,17.02,22.2951
32.92,1.0,1,4.17,32.31,38.8456
11.11,2.0,1,3.79,59.73,25.1652
1.54,3.0,1,3.62,10.13,9.8718
43.82,1.0,1,2.19,42.17,73.3691
30.27,2.0,1,3.66,41.65,41.0174
30.43,2.0,1,4.52,56.58,65.0136
33.59,2.0,1,4.99,77.02,55.5074
9.59,3.0,1,3.29,21.83,20.2164
21.52,3.0,2,4.72,103.83,93.5096
19.77,1.0,1,2.57,34.47,47.6252
26.43,2.0,1,3.85,48.72,58.65549999999999
3.3,1.0,1,3.22,105.2,33.183
9.15,2.0,3,2.12,81.26,48.8108
37.16,2.0,3,3.04,44.3,46.3014
18.43,1.0,1,2.17,114.78,45.03040000000001
28.75,3.0,2,4.8,63.9,59.68299999999999
24.33,3.0,1,4.3,46.42,33.7362
46.9,3.0,1,4.47,84.34,48.44540000000001
36.9,1.0,1,3.94,106.66,100.5938
2.53,2.0,1,4.14,110.59,56.688500000000005
13.85,2.0,1,4.77,98.75,59.6075
25.32,2.0,2,3.58,37.19,62.7976
30.25,2.0,1,2.38,17.18,46.0189
17.38,1.0,2,3.78,17.91,23.1248
38.77,2.0,1,3.45,38.49,38.6747
6.22,2.0,1,3.87,75.63,46.6313
4.68,2.0,2,2.03,97.5,53.6582
36.68,1.0,1,2.58,108.41,85.5747
34.73,1.0,1,4.85,5.65,44.88589999999999
22.31,1.0,1,3.15,26.43,54.6247
13.07,2.0,1,3.27,16.47,24.6973
41.14,2.0,2,4.14,46.78,82.44200000000001
40.17,1.0,1,3.81,62.66,56.6394
14.34,2.0,1,3.23,45.07,30.7837
18.69,2.0,1,4.9,79.41,51.8548
5.49,2.0,1,2.39,58.39,34.4049
47.56,1.0,1,2.67,114.94,61.209
